var_name,label,var_lower,label_lower
R06_AG1011TC_06,R06_AG1011TC_06: Flavor of traditional cigar when first started smoking: An alco,r06_ag1011tc_06,r06_ag1011tc_06: flavor of traditional cigar when first started smoking: an alco
R06_AG1011TC_07,R06_AG1011TC_07: Flavor of traditional cigar when first started smoking: Candy o,r06_ag1011tc_07,r06_ag1011tc_07: flavor of traditional cigar when first started smoking: candy o
R06_AG1011TC_08,R06_AG1011TC_08: Flavor of traditional cigar when first started smoking: Some ot,r06_ag1011tc_08,r06_ag1011tc_08: flavor of traditional cigar when first started smoking: some ot
R06_AG1021TC,R06_AG1021TC: Average number of traditional cigars now smoked each day,r06_ag1021tc,r06_ag1021tc: average number of traditional cigars now smoked each day
R06_AG1022TC,"R06_AG1022TC: In past 30 days, number of days smoked traditional cigars",r06_ag1022tc,"r06_ag1022tc: in past 30 days, number of days smoked traditional cigars"
R06_AG9029TC_NN,R06_AG9029TC_NN: Time since last smoked traditional cigars - Number (Current smo,r06_ag9029tc_nn,r06_ag9029tc_nn: time since last smoked traditional cigars - number (current smo
R06_AG9029TC_UN,R06_AG9029TC_UN: Time since last smoked traditional cigars - Unit (Current smoke,r06_ag9029tc_un,r06_ag9029tc_un: time since last smoked traditional cigars - unit (current smoke
R06_AG1023TC,"R06_AG1023TC: In past 30 days, average number of traditional cigars smoked per d",r06_ag1023tc,"r06_ag1023tc: in past 30 days, average number of traditional cigars smoked per d"
R06_AG1024TC_NN,R06_AG1024TC_NN: Time to first traditional cigar after waking on days smoked - N,r06_ag1024tc_nn,r06_ag1024tc_nn: time to first traditional cigar after waking on days smoked - n
R06_AG1024TC_UN,R06_AG1024TC_UN: Time to first traditional cigar after waking on days smoked - U,r06_ag1024tc_un,r06_ag1024tc_un: time to first traditional cigar after waking on days smoked - u
R06_AG1092TC,R06_AG1092TC: Smoke first traditional cigar of the day within 30 minutes after w,r06_ag1092tc,r06_ag1092tc: smoke first traditional cigar of the day within 30 minutes after w
R06_AG0100TC,R06_AG0100TC: When last smoked a traditional cigar,r06_ag0100tc,r06_ag0100tc: when last smoked a traditional cigar
R06_AG0102TC,R06_AG0102TC: Time period of day when you last smoked a traditional cigar,r06_ag0102tc,r06_ag0102tc: time period of day when you last smoked a traditional cigar
R06_AG0103TC,R06_AG0103TC: Number of traditional cigars smoked today/yesterday/day before yes,r06_ag0103tc,r06_ag0103tc: number of traditional cigars smoked today/yesterday/day before yes
R06_AG1130TC,"R06_AG1130TC: In past 30 days, any of the traditional cigars smoked flavored to",r06_ag1130tc,"r06_ag1130tc: in past 30 days, any of the traditional cigars smoked flavored to"
R06_AG1131TC_01,"R06_AG1131TC_01: In past 30 days, traditional cigar flavor smoked: Menthol",r06_ag1131tc_01,"r06_ag1131tc_01: in past 30 days, traditional cigar flavor smoked: menthol"
R06_AG1131TC_02,"R06_AG1131TC_02: In past 30 days, traditional cigar flavor smoked: Mint",r06_ag1131tc_02,"r06_ag1131tc_02: in past 30 days, traditional cigar flavor smoked: mint"
R06_AG1131TC_03,"R06_AG1131TC_03: In past 30 days, traditional cigar flavor smoked: Clove or spic",r06_ag1131tc_03,"r06_ag1131tc_03: in past 30 days, traditional cigar flavor smoked: clove or spic"
R06_AG1131TC_04,"R06_AG1131TC_04: In past 30 days, traditional cigar flavor smoked: Fruit",r06_ag1131tc_04,"r06_ag1131tc_04: in past 30 days, traditional cigar flavor smoked: fruit"
R06_AG1131TC_05,"R06_AG1131TC_05: In past 30 days, traditional cigar flavor smoked: Chocolate",r06_ag1131tc_05,"r06_ag1131tc_05: in past 30 days, traditional cigar flavor smoked: chocolate"
R06_AG1131TC_06,"R06_AG1131TC_06: In past 30 days, traditional cigar flavor smoked: An alcoholic",r06_ag1131tc_06,"r06_ag1131tc_06: in past 30 days, traditional cigar flavor smoked: an alcoholic"
R06_AG1131TC_07,"R06_AG1131TC_07: In past 30 days, traditional cigar flavor smoked: Candy or othe",r06_ag1131tc_07,"r06_ag1131tc_07: in past 30 days, traditional cigar flavor smoked: candy or othe"
R06_AG1131TC_08,"R06_AG1131TC_08: In past 30 days, traditional cigar flavor smoked: Some other fl",r06_ag1131tc_08,"r06_ag1131tc_08: in past 30 days, traditional cigar flavor smoked: some other fl"
R06_AG1147TC,R06_AG1147TC: How often smoked flavored traditional cigars on days smoked in pas,r06_ag1147tc,r06_ag1147tc: how often smoked flavored traditional cigars on days smoked in pas
R06_AG1133TC,"R06_AG1133TC: In past 30 days, flavor of traditional cigar smoked most often",r06_ag1133tc,"r06_ag1133tc: in past 30 days, flavor of traditional cigar smoked most often"
R06_AG1123TC,"R06_AG1123TC: In past 30 days, someone refused to sell you traditional cigars be",r06_ag1123tc,"r06_ag1123tc: in past 30 days, someone refused to sell you traditional cigars be"
R06_AG1030TC,R06_AG1030TC: How you usually buy/bought your traditional cigars,r06_ag1030tc,r06_ag1030tc: how you usually buy/bought your traditional cigars
R06_AG1118TC,R06_AG1118TC: How you usually get your own traditional cigars,r06_ag1118tc,r06_ag1118tc: how you usually get your own traditional cigars
R06_AG1032TC,R06_AG1032TC: Geographic area where you usually buy/bought your traditional ciga,r06_ag1032tc,r06_ag1032tc: geographic area where you usually buy/bought your traditional ciga
R06_AG1033TC,R06_AG1033TC: Retail location where your traditional cigars are purchased most o,r06_ag1033tc,r06_ag1033tc: retail location where your traditional cigars are purchased most o
R06_AG1039TC,"R06_AG1039TC: Usually buy/bought traditional cigars by the box, pack or as singl",r06_ag1039tc,"r06_ag1039tc: usually buy/bought traditional cigars by the box, pack or as singl"
R06_AG1040TC,R06_AG1040TC: Number of traditional cigars that come/came in box or pack usually,r06_ag1040tc,r06_ag1040tc: number of traditional cigars that come/came in box or pack usually
R06_AG1042TC_D,R06_AG1042TC_D: Amount usually paid for a box or pack of traditional cigars - Do,r06_ag1042tc_d,r06_ag1042tc_d: amount usually paid for a box or pack of traditional cigars - do
R06_AG1042TC_C,R06_AG1042TC_C: Amount usually paid for a box or pack of traditional cigars - Ce,r06_ag1042tc_c,r06_ag1042tc_c: amount usually paid for a box or pack of traditional cigars - ce
