wave,var_name,label,var_lower,label_lower
W6,R06_AC0102MC,R06_AC0102MC: Time period of day when you last smoked a cigarette,r06_ac0102mc,r06_ac0102mc: time period of day when you last smoked a cigarette
W6,R06_AC0103MC,R06_AC0103MC: Number of cigarettes smoked today/yesterday/day before yesterday,r06_ac0103mc,r06_ac0103mc: number of cigarettes smoked today/yesterday/day before yesterday
W6,R06_AC1130MC,"R06_AC1130MC: In past 30 days, cigarette flavor smoked: Menthol or mint",r06_ac1130mc,"r06_ac1130mc: in past 30 days, cigarette flavor smoked: menthol or mint"
W6,R06_AC1123MC,"R06_AC1123MC: In past 30 days, someone refused to sell you cigarettes because of",r06_ac1123mc,"r06_ac1123mc: in past 30 days, someone refused to sell you cigarettes because of"
W6,R06_AC1030MC,R06_AC1030MC: How you usually buy your cigarettes,r06_ac1030mc,r06_ac1030mc: how you usually buy your cigarettes
W6,R06_AC1118MC,R06_AC1118MC: How you usually get your own cigarettes,r06_ac1118mc,r06_ac1118mc: how you usually get your own cigarettes
W6,R06_AC1032MC,R06_AC1032MC: Geographic area where you usually buy your cigarettes,r06_ac1032mc,r06_ac1032mc: geographic area where you usually buy your cigarettes
W6,R06_AC1033MC,R06_AC1033MC: Retail location where your cigarettes are purchased most of the ti,r06_ac1033mc,r06_ac1033mc: retail location where your cigarettes are purchased most of the ti
W6,R06_AC1039,"R06_AC1039: Usually buy cigarettes by carton, pack or as single cigarettes",r06_ac1039,"r06_ac1039: usually buy cigarettes by carton, pack or as single cigarettes"
W6,R06_AC1040,R06_AC1040: Number of cigarette packs in the carton you usually buy,r06_ac1040,r06_ac1040: number of cigarette packs in the carton you usually buy
W6,R06_AC1041_D,R06_AC1041_D: Amount usually paid for a carton of cigarettes - Dollars,r06_ac1041_d,r06_ac1041_d: amount usually paid for a carton of cigarettes - dollars
W6,R06_AC1041_C,R06_AC1041_C: Amount usually paid for a carton of cigarettes - Cents,r06_ac1041_c,r06_ac1041_c: amount usually paid for a carton of cigarettes - cents
W6,R06_AC1042_D,R06_AC1042_D: Amount usually paid for a pack of cigarettes - Dollars,r06_ac1042_d,r06_ac1042_d: amount usually paid for a pack of cigarettes - dollars
W6,R06_AC1042_C,R06_AC1042_C: Amount usually paid for a pack of cigarettes - Cents,r06_ac1042_c,r06_ac1042_c: amount usually paid for a pack of cigarettes - cents
W6,R06_AC1043_D,R06_AC1043_D: Amount usually paid for a single cigarette - Dollars,r06_ac1043_d,r06_ac1043_d: amount usually paid for a single cigarette - dollars
W6,R06_AC1043_C,R06_AC1043_C: Amount usually paid for a single cigarette - Cents,r06_ac1043_c,r06_ac1043_c: amount usually paid for a single cigarette - cents
W6,R06_AC8800,R06_AC8800: Where you usually throw away cigarette butts after you finish smokin,r06_ac8800,r06_ac8800: where you usually throw away cigarette butts after you finish smokin
W6,R06_AC8801,R06_AC8801: What you usually do with a cigarette pack or carton when it's empty,r06_ac8801,r06_ac8801: what you usually do with a cigarette pack or carton when it's empty
W6,R06_AC1047MC,R06_AC1047MC: Have a regular brand of cigarettes you usually smoke,r06_ac1047mc,r06_ac1047mc: have a regular brand of cigarettes you usually smoke
W6,R06_AC1050,R06_AC1050: Regular/last brand of cigarettes smoked  flavored to taste like ment,r06_ac1050,r06_ac1050: regular/last brand of cigarettes smoked  flavored to taste like ment
W6,R06_AC1945MC,R06_AC1945MC: Know the name of brand of cigarettes usually/last smoked,r06_ac1945mc,r06_ac1945mc: know the name of brand of cigarettes usually/last smoked
W6,R06_AC1048MC_BRAND,R06_AC1048MC_BRAND: Brand of cigarettes usually/last smoked,r06_ac1048mc_brand,r06_ac1048mc_brand: brand of cigarettes usually/last smoked
W6,R06_AC1070MC_PRODUCT,R06_AC1070MC_PRODUCT: Sub-brand of cigarette product usually/last smoked,r06_ac1070mc_product,r06_ac1070mc_product: sub-brand of cigarette product usually/last smoked
W6,R06_AC1051MC_NN,R06_AC1051MC_NN: How long smoked regular brand of manufactured cigarettes - Numb,r06_ac1051mc_nn,r06_ac1051mc_nn: how long smoked regular brand of manufactured cigarettes - numb
W6,R06_AC1051MC_UN,R06_AC1051MC_UN: How long smoked regular brand of manufactured cigarettes - Unit,r06_ac1051mc_un,r06_ac1051mc_un: how long smoked regular brand of manufactured cigarettes - unit
W6,R06_AC0100RY,R06_AC0100RY: When last smoked a roll-your-own cigarette,r06_ac0100ry,r06_ac0100ry: when last smoked a roll-your-own cigarette
W6,R06_AC0102RY,R06_AC0102RY: Time period of day when you last smoked a roll-your-own cigarette,r06_ac0102ry,r06_ac0102ry: time period of day when you last smoked a roll-your-own cigarette
W6,R06_AC0103RY,R06_AC0103RY: Number of roll-your-own cigarettes smoked today/yesterday/day befo,r06_ac0103ry,r06_ac0103ry: number of roll-your-own cigarettes smoked today/yesterday/day befo
W6,R06_AC1130RY,"R06_AC1130RY: In past 30 days, roll-your-own tobacco flavor smoked: Menthol or m",r06_ac1130ry,"r06_ac1130ry: in past 30 days, roll-your-own tobacco flavor smoked: menthol or m"
W6,R06_AC1123RY,"R06_AC1123RY: In past 30 days, someone refused to sell you cigarettes because of",r06_ac1123ry,"r06_ac1123ry: in past 30 days, someone refused to sell you cigarettes because of"
W6,R06_AC1030RY,R06_AC1030RY: How you usually buy your pouch of roll-your-own cigarette tobacco,r06_ac1030ry,r06_ac1030ry: how you usually buy your pouch of roll-your-own cigarette tobacco
W6,R06_AC1118RY,R06_AC1118RY: How you usually get your own roll-your-own cigarette tobacco,r06_ac1118ry,r06_ac1118ry: how you usually get your own roll-your-own cigarette tobacco
W6,R06_AC1032RY,R06_AC1032RY: Geographic area where you usually buy your roll-your-own cigarette,r06_ac1032ry,r06_ac1032ry: geographic area where you usually buy your roll-your-own cigarette
W6,R06_AC1033RY,R06_AC1033RY: Retail location where your roll-your-own cigarette tobacco is purc,r06_ac1033ry,r06_ac1033ry: retail location where your roll-your-own cigarette tobacco is purc
W6,R06_AC9049RY_D,R06_AC9049RY_D: How much you usually pay for a pouch of roll-your-own cigarette,r06_ac9049ry_d,r06_ac9049ry_d: how much you usually pay for a pouch of roll-your-own cigarette
W6,R06_AC9049RY_C,R06_AC9049RY_C: How much you usually pay for a pouch of roll-your-own cigarette,r06_ac9049ry_c,r06_ac9049ry_c: how much you usually pay for a pouch of roll-your-own cigarette
W6,R06_AC8802,R06_AC8802: What you usually do with a pouch of roll-your-own cigarette tobacco,r06_ac8802,r06_ac8802: what you usually do with a pouch of roll-your-own cigarette tobacco
W6,R06_AC1047RY,R06_AC1047RY: Have a regular brand of roll-your-own cigarette tobacco you usuall,r06_ac1047ry,r06_ac1047ry: have a regular brand of roll-your-own cigarette tobacco you usuall
W6,R06_AC9150,R06_AC9150: Regular/last brand of roll-your-own cigarette tobacco flavored to ta,r06_ac9150,r06_ac9150: regular/last brand of roll-your-own cigarette tobacco flavored to ta
W6,R06_AC1945RY,R06_AC1945RY: Know the name of brand of roll-your-own cigarette tobacco usually/,r06_ac1945ry,r06_ac1945ry: know the name of brand of roll-your-own cigarette tobacco usually/
W6,R06_AC1048RY_BRAND,R06_AC1048RY_BRAND: Brand of roll-your-own cigarette tobacco usually/last smoked,r06_ac1048ry_brand,r06_ac1048ry_brand: brand of roll-your-own cigarette tobacco usually/last smoked
W6,R06_AC1070RY_PRODUCT,R06_AC1070RY_PRODUCT: Sub-brand of roll-your-own cigarette tobacco product usual,r06_ac1070ry_product,r06_ac1070ry_product: sub-brand of roll-your-own cigarette tobacco product usual
W6,R06_AC1051RY_NN,R06_AC1051RY_NN: How long smoked regular brand of roll-your-own cigarette tobacc,r06_ac1051ry_nn,r06_ac1051ry_nn: how long smoked regular brand of roll-your-own cigarette tobacc
W6,R06_AC1051RY_UN,R06_AC1051RY_UN: How long smoked regular brand of roll-your-own cigarette tobacc,r06_ac1051ry_un,r06_ac1051ry_un: how long smoked regular brand of roll-your-own cigarette tobacc
W6,R06_AC9010_RANDOM_01,R06_AC9010_RANDOM_01: AC9010 series random question 1,r06_ac9010_random_01,r06_ac9010_random_01: ac9010 series random question 1
W6,R06_AC9010_RANDOM_02,R06_AC9010_RANDOM_02: AC9010 series random question 2,r06_ac9010_random_02,r06_ac9010_random_02: ac9010 series random question 2
W6,R06_AC9010_RANDOM_03,R06_AC9010_RANDOM_03: AC9010 series random question 3,r06_ac9010_random_03,r06_ac9010_random_03: ac9010 series random question 3
